"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "h"
258, -3.812212555057240e+01, -1.176472019215278e+02, 5.062580748819802e-01, 1.012516149763960e+00, 1.476156043489213e-06, 1.739392243157365e-06, 0.000000000000000e+00
259, -3.771256903680519e+01, -1.171707122123522e+02, 4.971700599513470e-01, 9.943401199026940e-01, 1.587627953418546e-06, 1.823783969525703e-06, 0.000000000000000e+00
260, -3.729705727120911e+01, -1.166994066282874e+02, 4.873282573792500e-01, 9.746565147585000e-01, 1.740937012205633e-06, 1.949869983546966e-06, 0.000000000000000e+00
261, -3.687565586790870e+01, -1.162333595939488e+02, 4.794484406791499e-01, 9.588968813582999e-01, 1.905894825235135e-06, 2.081377384621437e-06, 0.000000000000000e+00
262, -3.644843137107058e+01, -1.157726447035656e+02, 4.718351571692803e-01, 9.436703143385606e-01, 2.002611074505753e-06, 2.132564192585185e-06, 0.000000000000000e+00
263, -3.601545124439535e+01, -1.153173347093598e+02, 4.654606310981820e-01, 9.309212621963641e-01, 2.026249195011390e-06, 2.104113927819206e-06, 0.000000000000000e+00
264, -3.557678386046427e+01, -1.148675015100575e+02, 4.566861047270839e-01, 9.133722094541677e-01, 2.016351831041094e-06, 2.041850604509015e-06, 0.000000000000000e+00
265, -3.513249848994246e+01, -1.144232161395357e+02, 4.465402793021683e-01, 8.930805586043365e-01, 2.101627683443378e-06, 2.075382409623721e-06, 0.000000000000000e+00
266, -3.468266529064026e+01, -1.139845487556047e+02, 4.361667512882703e-01, 8.723335025765406e-01, 2.225205811277764e-06, 2.142859958400373e-06, 0.000000000000000e+00
267, -3.422735529643444e+01, -1.135515686289294e+02, 4.251970413711927e-01, 8.503940827423854e-01, 2.319613564660393e-06, 2.178262126558222e-06, 0.000000000000000e+00
268, -3.376664040605123e+01, -1.131243441320913e+02, 4.136387348341103e-01, 8.272774696682207e-01, 2.369529508548853e-06, 2.169752617643028e-06, 0.000000000000000e+00
